Key|zh-TW,繁體中文|en-US,English┤
Name|名稱|Name┤
NetProtocol|網絡協議|Protocol┤
RemotePort|遠端端口|Remote Port┤
LocalPort|本地端口|Local Port┤
ForwardTarget|轉發目標|Target┤
NetState|網絡狀態|State┤
Mask|遮罩|Mask┤
Exit|退出|Exit┤
RemoteIP|遠端位址|Remote IP┤
Save|儲存|Save┤
Cancel|取消|Cancel┤
EnterName|輸入名稱|Enter Name┤
EnterIp|輸入位址|Enter IP address┤
EnterRemotePort|輸入遠端端口|Enter Remote Port┤
EnterLocalPort|輸入本地端口|Enter Local Port┤
Connecting|連接中|Connecting┤
NotConnecting|未連接|Not Connecting┤
OriginalData|原始資料|original data┤
Robot10|機器人-十進制|Robot 10┤
Robot16|機器人-十六進制|Robot 16┤
